Label_ID,Region_Name,Volume
0,Background,4630705.421769619
1,CSF,423063.4790277481
2,Ventricle,1767.1680788993835
3,DGM,27557.007650375366
4,Pons,260.5282564163208
5,Brain_stem,3055.062478542328
6,Cerebellum,23867.829226970673
7,Temporal_lobe,34881.29259490967
8,Ventricle,66.3609709739685
9,Lateral_Ventricle,61691.124868392944
10,Optic_Chiasm,
11,Cerebellum,
13,White_matter,690104.9418544769
12,Corpus_callosum,17258.768080711365
14,Frontal_lobe_GM,135482.06677770615
15,Limbic_cortex_GM,28830.15516757965
16,Parietal_lobe_GM,135759.7997303009
17,Occipital_lobe_GM,47470.21457004547
18,Lesion,27635.657690048218
19,Ventral_dc,2546.2950344085693
